,Local Date,Local Time,Air temp 1,rh,Rainfall (mm),sp5 Light,Windspeed Average mph,Windspeed Gust Max mph,Soil temp2,Bat Volt,Serial No.,Label,Name
0,24-02-25,23:00:01,5.0,100.0,0,0.0,9.23,5.75,7.2,12.9,2428,Weather Station,allpress
1,25-02-25,00:00:01,4.2,100.0,0,0.0,11.8,6.5,7.1,12.9,2428,Weather Station,allpress
2,25-02-25,01:00:01,4.9,100.0,0,0.0,0.7,4.0,7.0,12.9,2428,Weather Station,allpress
3,25-02-25,02:00:01,5.6,100.0,0,0.0,0.0,1.5,6.9,12.9,2428,Weather Station,allpress
4,25-02-25,03:00:01,5.5,100.0,0,0.0,17.2,7.5,6.9,12.9,2428,Weather Station,allpress
5,25-02-25,04:00:01,5.9,100.0,0,0.0,17.08,9.0,6.8,12.9,2428,Weather Station,allpress
6,25-02-25,05:00:01,5.6,100.0,0,0.0,13.4,7.5,6.8,12.8,2428,Weather Station,allpress
7,25-02-25,06:00:01,5.7,100.0,0,0.0,9.93,6.5,6.7,12.8,2428,Weather Station,allpress
8,25-02-25,07:00:01,5.7,100.0,0,2.44,8.28,5.0,6.7,12.8,2428,Weather Station,allpress
9,25-02-25,08:00:01,5.7,100.0,0,65.88,8.95,5.75,6.6,12.9,2428,Weather Station,allpress
10,25-02-25,09:00:01,7.7,98.5,0,402.6,9.58,10.0,6.6,13.7,2428,Weather Station,allpress
11,25-02-25,10:00:01,8.2,85.8,0,490.44,3.1,10.75,6.6,13.8,2428,Weather Station,allpress
12,25-02-25,11:00:01,9.0,78.4,0,685.64,0.0,0.75,6.6,13.8,2428,Weather Station,allpress
13,25-02-25,12:00:01,9.7,70.9,0,1002.84,4.35,10.0,6.6,13.8,2428,Weather Station,allpress
14,25-02-25,13:00:01,10.4,71.5,0,1054.08,25.1,10.75,6.6,13.8,2428,Weather Station,allpress
15,25-02-25,14:00:01,8.8,72.6,0,234.24,23.8,11.5,6.7,13.8,2428,Weather Station,allpress
16,25-02-25,15:00:01,9.9,71.4,0,405.04,1.18,8.25,6.7,13.8,2428,Weather Station,allpress
17,25-02-25,16:00:01,10.0,71.9,0,387.96,0.03,4.0,6.7,13.8,2428,Weather Station,allpress
18,25-02-25,17:00:01,8.4,72.3,0,61.0,0.2,4.0,6.8,13.4,2428,Weather Station,allpress
19,25-02-25,18:00:01,6.6,79.6,0,0.0,0.7,5.0,6.8,13.1,2428,Weather Station,allpress
20,25-02-25,19:00:01,5.2,87.4,0,0.0,0.65,5.0,6.7,13.0,2428,Weather Station,allpress
21,25-02-25,20:00:01,5.3,84.1,0,0.0,0.05,4.0,6.7,13.0,2428,Weather Station,allpress
22,25-02-25,21:00:01,3.8,93.4,0,0.0,2.65,5.0,6.6,13.0,2428,Weather Station,allpress
23,25-02-25,22:00:01,2.8,90.1,0,0.0,2.43,5.75,6.6,13.0,2428,Weather Station,allpress
