,Local Date,Local Time,Air temp 1,rh,Rainfall (mm),sp5 Light,Windspeed Average mph,Windspeed Gust Max mph,Soil temp2,Bat Volt,Serial No.,Label,Name
0,10-03-25,00:00:01,3.1,96.0,0,0.0,2.0,3.25,6.6,12.9,2428,Weather Station,allpress
1,10-03-25,01:00:01,2.7,100.0,0,0.0,2.95,5.75,6.4,12.9,2428,Weather Station,allpress
2,10-03-25,02:00:01,2.2,100.0,0,0.0,5.18,5.0,6.3,12.9,2428,Weather Station,allpress
3,10-03-25,03:00:01,2.7,100.0,0,0.0,7.55,8.25,6.1,12.9,2428,Weather Station,allpress
4,10-03-25,04:00:01,2.0,100.0,0,0.0,8.58,5.75,6.0,12.9,2428,Weather Station,allpress
5,10-03-25,05:00:01,2.6,100.0,0,0.0,10.45,5.75,5.9,12.8,2428,Weather Station,allpress
6,10-03-25,06:00:01,1.3,100.0,0,0.0,10.8,5.75,5.9,12.8,2428,Weather Station,allpress
7,10-03-25,07:00:01,2.1,100.0,0,34.16,10.18,5.75,5.9,12.8,2428,Weather Station,allpress
8,10-03-25,08:00:01,4.6,100.0,0,114.68,11.08,7.5,5.8,13.0,2428,Weather Station,allpress
9,10-03-25,09:00:01,6.0,100.0,0,207.4,5.08,6.5,5.8,13.5,2428,Weather Station,allpress
10,10-03-25,10:00:01,6.6,100.0,0,200.08,0.43,6.5,5.8,13.6,2428,Weather Station,allpress
11,10-03-25,11:00:01,7.8,100.0,0,334.28,0.23,8.25,5.9,13.7,2428,Weather Station,allpress
12,10-03-25,12:00:01,8.4,93.9,0,512.4,0.53,9.0,5.9,13.8,2428,Weather Station,allpress
13,10-03-25,13:00:01,8.8,90.7,0,444.08,0.15,9.0,6.0,13.8,2428,Weather Station,allpress
14,10-03-25,14:00:02,8.3,90.3,0,326.96,0.03,5.0,6.1,13.8,2428,Weather Station,allpress
15,10-03-25,15:00:01,8.0,89.2,0,275.72,0.08,10.0,6.1,13.8,2428,Weather Station,allpress
16,10-03-25,16:00:01,7.0,94.8,0,87.84,0.2,12.5,6.2,13.4,2428,Weather Station,allpress
17,10-03-25,17:00:01,6.3,100.0,0,36.6,0.23,13.25,6.3,13.1,2428,Weather Station,allpress
18,10-03-25,18:00:01,6.3,100.0,0,0.0,0.0,2.5,6.3,13.1,2428,Weather Station,allpress
19,10-03-25,19:00:01,6.0,100.0,0,0.0,0.0,0.0,6.3,13.0,2428,Weather Station,allpress
20,10-03-25,20:00:02,5.9,99.7,0,0.0,0.0,5.75,6.3,13.0,2428,Weather Station,allpress
21,10-03-25,21:00:01,5.9,97.6,0,0.0,0.0,2.5,6.3,13.0,2428,Weather Station,allpress
22,10-03-25,22:00:01,5.3,98.6,0,0.0,0.0,0.75,6.2,12.9,2428,Weather Station,allpress
23,10-03-25,23:00:01,5.9,99.3,0,0.0,0.0,0.0,6.2,12.9,2428,Weather Station,allpress
24,11-03-25,00:00:01,5.6,99.3,0,0.0,0.0,0.0,6.2,12.9,2428,Weather Station,allpress
25,11-03-25,01:00:01,5.3,95.1,0,0.0,0.0,0.75,6.2,12.8,2428,Weather Station,allpress
26,11-03-25,02:00:01,5.0,93.9,0,0.0,0.0,2.5,6.2,12.8,2428,Weather Station,allpress
27,11-03-25,03:00:01,4.2,100.0,0,0.0,0.35,12.5,6.1,12.8,2428,Weather Station,allpress
28,11-03-25,04:00:01,4.4,95.1,0,0.0,0.0,1.5,6.1,12.8,2428,Weather Station,allpress
29,11-03-25,05:00:01,3.9,93.9,0,0.0,0.7,8.25,6.1,12.8,2428,Weather Station,allpress
30,11-03-25,06:00:01,3.3,93.1,0,0.0,0.6,5.75,6.0,12.8,2428,Weather Station,allpress
31,11-03-25,07:00:01,3.5,96.2,0,56.12,11.18,7.5,5.9,12.8,2428,Weather Station,allpress
32,11-03-25,08:00:01,4.4,90.8,0,314.76,19.83,13.25,5.9,13.7,2428,Weather Station,allpress
33,11-03-25,09:00:02,5.3,84.5,0,583.16,1.15,12.5,5.9,13.8,2428,Weather Station,allpress
34,11-03-25,10:00:02,4.5,84.8,0,446.52,15.28,17.5,5.9,13.8,2428,Weather Station,allpress
35,11-03-25,11:00:01,4.0,88.4,0,236.68,2.75,19.0,5.9,13.7,2428,Weather Station,allpress
36,11-03-25,12:00:02,5.9,85.4,0,976.0,1.08,9.0,5.9,13.8,2428,Weather Station,allpress
37,11-03-25,12:00:02,5.9,85.4,0,976.0,1.08,9.0,5.9,13.8,2428,Weather Station,allpress
38,11-03-25,13:00:01,7.1,68.9,0,400.16,0.0,0.0,5.9,13.8,2428,Weather Station,allpress
39,11-03-25,14:00:01,8.5,56.5,0,1068.72,1.28,12.5,6.0,13.8,2428,Weather Station,allpress
40,11-03-25,15:00:01,7.1,63.5,0,183.0,11.83,15.75,6.0,13.8,2428,Weather Station,allpress
41,11-03-25,16:00:02,7.2,70.0,0,456.28,0.0,2.5,6.0,13.8,2428,Weather Station,allpress
42,11-03-25,17:00:01,5.4,81.8,0,107.36,0.08,9.0,6.1,13.5,2428,Weather Station,allpress
43,11-03-25,18:00:01,4.6,89.1,0,0.0,0.0,0.75,6.1,13.1,2428,Weather Station,allpress
44,11-03-25,19:00:01,4.2,94.1,0,0.0,0.0,0.0,6.1,13.0,2428,Weather Station,allpress
45,11-03-25,20:00:01,3.8,97.0,0,0.0,0.0,1.5,6.0,13.0,2428,Weather Station,allpress
46,11-03-25,21:00:01,3.7,95.4,0,0.0,0.0,0.75,6.0,13.0,2428,Weather Station,allpress
47,11-03-25,22:00:01,2.8,98.6,0,0.0,0.08,10.0,5.9,13.0,2428,Weather Station,allpress
48,11-03-25,23:00:01,2.0,100.0,0,0.0,2.35,8.25,5.9,12.9,2428,Weather Station,allpress
49,12-03-25,00:00:01,1.7,100.0,0,0.0,2.9,7.5,5.9,12.9,2428,Weather Station,allpress
50,12-03-25,01:00:01,1.8,97.3,0,0.0,0.08,5.0,5.8,12.9,2428,Weather Station,allpress
51,12-03-25,02:00:01,1.9,94.2,0,0.0,0.0,0.0,5.7,12.8,2428,Weather Station,allpress
52,12-03-25,03:00:01,1.7,94.8,0,0.0,0.0,1.5,5.7,12.8,2428,Weather Station,allpress
53,12-03-25,04:00:01,1.7,97.0,0,0.0,0.0,1.5,5.6,12.8,2428,Weather Station,allpress
54,12-03-25,05:00:01,2.3,96.0,0,0.0,0.0,1.5,5.5,12.8,2428,Weather Station,allpress
55,12-03-25,06:00:01,1.8,100.0,0,0.0,0.1,4.0,5.5,12.8,2428,Weather Station,allpress
56,12-03-25,07:00:01,2.1,99.3,0,34.16,0.1,4.0,5.4,12.8,2428,Weather Station,allpress
